# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Hearsay Honey Spearmint Fudge,0.85,0.36,0.27,0.13
Billy Bonker's Indulgent Nut Nonpariels,0.71,0.68,0.89,0.64
Good Ivan's Semisweet Nugat-Filled Wafers,0.7,0.31,0.5,0.31
Good Ivan's Semisweet Wintergreen Bar,0.61,0.66,0.05,0.66
Good Ivan's Refreshingly Dark Nugat-Filled Nonpariels,0.66,0.28,0.61,0.37
Good Ivan's Salted Almond Jawbreakers,0.12,0.33,0.77,0.92
Hearsay Refreshingly Bittersweet Chocolate Velvet,0.55,0.27,0.29,0.08
Hearsay Dark Chocolate Nonpariels,0.39,0.6,0.17,0.66
Hearsay Sinful Peanut Bar,0.74,0.43,0.86,0.41
Good Ivan's Tart Indulgent Peanut-Butter Nonpariels,0.86,0.86,0.65,0.55
Hearsay Tangy Semisweet Chocolate Coated Nonpariels,0.54,0.92,0.31,0.3
Good Ivan's Luxurious Dark Nugat-Filled Lollipops,0.34,0.23,0.42,0.75
Hearsay Sinful Wintergreen Chews,0.9,0.67,0.08,0.14
Hearsay Tangy Bitter Peanut-Butter Chews,0.04,0.89,0.43,0.06
Nastly Luxurious Bittersweet Nut Chews,0.53,0.28,0.92,0.26
Billy Bonker's Tart Sinful Fruit Wafers,0.96,0.98,0.08,0.66
Billy Bonker's Semisweet Nut Clusters,0.35,0.3,0.99,0.89
Hearsay Refreshingly Dark Almond Chews,0.58,0.13,0.84,0.27
Nastly Semisweet Walnut Candy Sticks,0.34,0.39,0.98,0.82
Good Ivan's Honey Nugat-Filled Jawbreakers,0.83,0.54,0.45,0.86
Billy Bonker's Cheese Cashew Lollipops,0.14,0.43,0.85,0.92
Billy Bonker's Refreshingly Honey Chocolate Coated Nonpariels,0.85,0.06,0.41,0.56
Nastly Semisweet Spearmint Wafers,0.63,0.54,0.27,0.32
Nastly Luxurious Dark Cashew Jawbreakers,0.62,0.1,0.91,0.99
Good Ivan's Indulgent Peanut Bar,0.91,0.67,0.88,0.34
Good Ivan's Luxurious Bitter Nugat-Filled Nonpariels,0.03,0.07,0.56,0.4
Hearsay Sour Indulgent Caramel Candy Sticks,0.85,0.8,0.12,0.81
Billy Bonker's Dark Wintergreen Bar,0.41,0.65,0.28,0.45
Good Ivan's Sour Sinful Chocolate Coated Candy Sticks,0.71,0.81,0.37,0.94
Good Ivan's Sinful Cashew Mints,0.76,0.54,0.73,0.34
Nastly Sour Dark Caramel Wafers,0.58,0.95,0.08,0.42
Good Ivan's Luxurious Bittersweet Chocolate Velvet,0.68,0.1,0.19,0.28
Good Ivan's Sour Dark Chocolate Coated Clusters,0.68,0.9,0.31,0.88
Hearsay Cool Semisweet Nugat-Filled Mints,0.38,0.23,0.7,0.37
Nastly Tart Bitter Spearmint Chews,0.18,0.8,0.07,0.12
Billy Bonker's Tart Dark Fruit Mints,0.63,0.81,0.18,0.55
Nastly Luxurious Bittersweet Caramel Chews,0.69,0.18,0.11,0.26
Hearsay Indulgent Chocolate Mints,0.96,0.56,0.11,0.44
Billy Bonker's Sinful Peanut Candy Sticks,0.82,0.48,0.94,0.91
Good Ivan's Tangy Honey Caramel Clusters,0.76,0.96,0.25,0.73
Billy Bonker's Honey Chocolate Coated Fudge,0.84,0.53,0.33,0.12
Good Ivan's Luxurious Bitter Almond Bar,0.26,0.05,0.8,0.62
Billy Bonker's Tangy Honey Chocolate Coated Velvet,0.77,0.83,0.6,0.18
Nastly Sinful Wintergreen Lollipops,0.87,0.7,0.23,0.99
Hearsay Cool Bitter Caramel Clusters,0.15,0.18,0.17,0.84
Billy Bonker's Refreshingly Dark Peanut-Butter Fudge,0.33,0.21,0.41,0.19
Good Ivan's Honey Spearmint Velvet,0.85,0.4,0.05,0.11
Nastly Semisweet Peanut-Butter Clusters,0.65,0.36,0.68,0.92
Nastly Bitter Peanut-Butter Jawbreakers,0.14,0.64,0.63,0.87
Hearsay Refreshingly Dark Peanut-Butter Candy Sticks,0.39,0.23,0.64,0.71
Billy Bonker's Sour Semisweet Nugat-Filled Wafers,0.56,0.76,0.65,0.35
Nastly Dark Chocolate Velvet,0.46,0.56,0.27,0.16
Good Ivan's Tangy Indulgent Peanut Wafers,0.73,0.94,0.88,0.42
Billy Bonker's Indulgent Spearmint Nonpariels,0.88,0.64,0.19,0.39
Billy Bonker's Dark Peanut Mints,0.45,0.56,0.87,0.33
Billy Bonker's Sour Cheese Chocolate Coated Chews,0.17,0.94,0.42,0.09
Nastly Dark Chocolate Coated Velvet,0.59,0.37,0.38,0.13
Good Ivan's Tart Cheese Chocolate Coated Lollipops,0.19,0.97,0.66,0.8
Hearsay Luxurious Sinful Chocolate Nonpariels,0.96,0.13,0.24,0.35
Hearsay Cheese Cashew Chews,0.08,0.65,0.73,0.25
Good Ivan's Cool Honey Nugat-Filled Mints,0.84,0.01,0.32,0.56
Good Ivan's Tangy Dark Fruit Jawbreakers,0.47,0.98,0.18,0.73
Billy Bonker's Tart Indulgent Wintergreen Clusters,0.73,0.82,0.13,0.82
Nastly Bittersweet Fruit Bar,0.66,0.65,0.28,0.49
Hearsay Tangy Sinful Fruit Fudge,0.99,0.74,0.23,0.22
Billy Bonker's Sinful Chocolate Candy Sticks,1,0.69,0.24,0.99
Good Ivan's Sinful Nugat-Filled Bar,0.9,0.63,0.64,0.3
Good Ivan's Semisweet Peanut-Butter Fudge,0.61,0.31,0.64,0
Nastly Salted Wintergreen Candy Sticks,0.2,0.64,0.04,0.96
Good Ivan's Indulgent Chocolate Fudge,0.96,0.46,0.13,0.02
Hearsay Semisweet Nugat-Filled Chews,0.68,0.61,0.3,0.22
Hearsay Tart Dark Chocolate Jawbreakers,0.64,0.73,0.23,0.91
Billy Bonker's Sinful Nut Clusters,0.94,0.61,0.74,0.74
Billy Bonker's Honey Peanut-Butter Mints,0.75,0.32,0.33,0.62
Good Ivan's Tangy Bittersweet Peanut-Butter Bar,0.65,0.95,0.58,0.48
Good Ivan's Luxurious Indulgent Chocolate Coated Bar,0.9,0.26,0.62,0.39
Hearsay Luxurious Bittersweet Peanut-Butter Fudge,0.39,0.15,0.62,0.1
Good Ivan's Luxurious Semisweet Chocolate Coated Clusters,0.7,0.13,0.38,0.77
Nastly Sour Indulgent Caramel Clusters,0.83,1,0.28,0.83
Hearsay Honey Peanut-Butter Mints,0.72,0.51,0.37,0.69
Good Ivan's Refreshingly Cheese Nugat-Filled Velvet,0.01,0.11,0.44,0.16
Billy Bonker's Tart Bitter Nugat-Filled Mints,0.22,0.96,0.54,0.39
Billy Bonker's Tart Dark Caramel Mints,0.45,0.72,0.24,0.32
Billy Bonker's Bittersweet Chocolate Coated Wafers,0.58,0.57,0.3,0.58
Nastly Bitter Nugat-Filled Nonpariels,0.24,0.7,0.49,0.36
Hearsay Tart Bitter Chocolate Coated Candy Sticks,0.19,0.71,0.68,0.86
Good Ivan's Cool Bittersweet Nugat-Filled Mints,0.62,0.07,0.36,0.45
Hearsay Dark Walnut Wafers,0.33,0.46,0.91,0.63
Good Ivan's Sour Dark Chocolate Coated Mints,0.62,0.88,0.65,0.32
Nastly Tart Indulgent Chocolate Coated Wafers,0.96,0.87,0.37,0.65
Hearsay Tangy Honey Peanut Bar,0.73,0.87,0.82,0.69
Billy Bonker's Tangy Dark Fruit Jawbreakers,0.58,0.75,0.26,0.9
Nastly Semisweet Peanut-Butter Velvet,0.64,0.31,0.39,0.14
Nastly Cool Semisweet Cashew Candy Sticks,0.51,0.25,0.96,0.76
Hearsay Sour Salted Chocolate Coated Chews,0.23,0.72,0.45,0.16
Nastly Dark Nugat-Filled Lollipops,0.33,0.46,0.35,0.94
Hearsay Tangy Salted Chocolate Coated Nonpariels,0.27,0.81,0.57,0.39
Billy Bonker's Cool Semisweet Nugat-Filled Velvet,0.55,0.1,0.69,0.02
Hearsay Tart Dark Nugat-Filled Wafers,0.63,0.93,0.68,0.55
Billy Bonker's Sour Sinful Almond Nonpariels,0.88,1,0.8,0.63
Nastly Tangy Indulgent Nugat-Filled Wafers,0.77,0.8,0.7,0.38
Nastly Honey Peanut-Butter Candy Sticks,0.99,0.3,0.46,0.84
Hearsay Bittersweet Peanut-Butter Nonpariels,0.52,0.61,0.52,0.34
Hearsay Cheese Wintergreen Velvet,0.19,0.66,0.18,0.24
Billy Bonker's Tangy Honey Chocolate Lollipops,0.8,0.9,0.12,0.88
Good Ivan's Refreshingly Semisweet Peanut-Butter Nonpariels,0.7,0.15,0.36,0.31
Nastly Sour Cheese Caramel Clusters,0.19,0.89,0.12,0.93
Nastly Tangy Bitter Peanut-Butter Wafers,0.21,0.76,0.54,0.31
Good Ivan's Refreshingly Indulgent Peanut-Butter Lollipops,0.71,0.17,0.5,0.93
Hearsay Tangy Dark Chocolate Coated Wafers,0.55,0.73,0.36,0.49
Billy Bonker's Bittersweet Peanut Clusters,0.44,0.44,0.76,0.87
Billy Bonker's Refreshingly Bittersweet Chocolate Coated Jawbreakers,0.45,0.27,0.64,0.85
Good Ivan's Cool Bittersweet Nugat-Filled Clusters,0.37,0.24,0.62,0.76
Good Ivan's Tart Bitter Nugat-Filled Wafers,0.22,1,0.63,0.47
Hearsay Sour Semisweet Fruit Nonpariels,0.57,0.85,0.08,0.48
Nastly Tart Bittersweet Fruit Jawbreakers,0.68,0.97,0.03,0.73
Billy Bonker's Bittersweet Walnut Nonpariels,0.68,0.39,0.95,0.39
Hearsay Honey Walnut Bar,0.95,0.68,0.99,0.42
Good Ivan's Tangy Bittersweet Chocolate Mints,0.54,0.72,0.12,0.3
Nastly Honey Caramel Chews,0.76,0.62,0.08,0.17
Nastly Honey Caramel Nonpariels,0.89,0.67,0.24,0.65
Hearsay Bittersweet Cashew Lollipops,0.41,0.31,0.74,0.97
Good Ivan's Honey Chocolate Chews,0.86,0.65,0.15,0.24
Nastly Sinful Wintergreen Velvet,0.82,0.67,0.12,0.24
Good Ivan's Indulgent Chocolate Velvet,0.94,0.59,0.27,0.25
Nastly Bittersweet Spearmint Velvet,0.4,0.58,0.07,0.17
Good Ivan's Dark Walnut Lollipops,0.43,0.56,0.9,0.75
Good Ivan's Salted Peanut Clusters,0.24,0.65,0.89,0.87
Billy Bonker's Sour Sinful Peanut-Butter Lollipops,0.82,0.92,0.58,0.9
Nastly Bitter Chocolate Clusters,0.21,0.54,0.13,0.88
Hearsay Refreshingly Sinful Nugat-Filled Nonpariels,0.74,0.26,0.56,0.59
Good Ivan's Honey Chocolate Coated Velvet,0.82,0.6,0.39,0.1
Hearsay Semisweet Nut Chews,0.49,0.3,0.91,0.04
Hearsay Bitter Peanut-Butter Chews,0.25,0.69,0.42,0.19
Hearsay Bittersweet Wintergreen Lollipops,0.56,0.59,0.22,0.76
Nastly Refreshingly Sinful Nugat-Filled Nonpariels,0.93,0.25,0.32,0.52
Nastly Sour Bittersweet Nugat-Filled Mints,0.38,0.9,0.69,0.33
Nastly Tart Cheese Nut Fudge,0.02,0.93,0.9,0.06
Hearsay Refreshingly Bittersweet Cashew Chews,0.53,0.08,0.96,0.2
Good Ivan's Salted Peanut-Butter Bar,0.13,0.66,0.48,0.3
Nastly Refreshingly Dark Cashew Bar,0.43,0.13,0.79,0.65
Good Ivan's Honey Nugat-Filled Bar,0.82,0.61,0.63,0.32
Billy Bonker's Semisweet Almond Mints,0.4,0.3,0.78,0.32
Hearsay Dark Almond Mints,0.65,0.37,1,0.67
Nastly Tangy Semisweet Fruit Wafers,0.61,0.93,0.27,0.66
Good Ivan's Dark Fruit Wafers,0.65,0.64,0.05,0.41
Good Ivan's Indulgent Walnut Bar,0.93,0.5,0.94,0.67
Nastly Honey Chocolate Coated Bar,0.91,0.35,0.53,0.31
Nastly Semisweet Chocolate Coated Lollipops,0.38,0.31,0.62,0.92
Nastly Tangy Bitter Nugat-Filled Fudge,0.09,0.71,0.31,0.17
Good Ivan's Sour Dark Nugat-Filled Mints,0.64,0.77,0.67,0.67
Billy Bonker's Refreshingly Bitter Caramel Candy Sticks,0.25,0.01,0.25,0.96
Billy Bonker's Sour Bittersweet Nut Mints,0.6,0.84,0.72,0.66
Billy Bonker's Indulgent Almond Bar,0.76,0.68,0.78,0.39
Nastly Refreshingly Indulgent Wintergreen Nonpariels,0.98,0.15,0.2,0.32
Good Ivan's Honey Caramel Clusters,0.92,0.67,0.06,1
Billy Bonker's Bitter Chocolate Coated Bar,0.27,0.31,0.54,0.58
Hearsay Indulgent Peanut-Butter Nonpariels,0.84,0.6,0.33,0.31
Good Ivan's Cool Dark Almond Bar,0.54,0.03,0.83,0.33
Good Ivan's Cheese Caramel Candy Sticks,0.26,0.6,0.17,0.82
Hearsay Tangy Sinful Chocolate Coated Jawbreakers,0.71,0.93,0.6,0.87
Billy Bonker's Semisweet Nut Jawbreakers,0.35,0.65,0.78,0.76
Nastly Luxurious Semisweet Cashew Lollipops,0.37,0.1,0.97,0.9
Nastly Tart Sinful Almond Bar,0.75,0.82,0.96,0.57
Billy Bonker's Semisweet Nugat-Filled Mints,0.65,0.4,0.33,0.44
Good Ivan's Sour Salted Spearmint Chews,0.25,0.73,0.12,0.11
Hearsay Refreshingly Honey Peanut-Butter Candy Sticks,0.95,0.28,0.42,0.86
Good Ivan's Tart Cheese Chocolate Coated Nonpariels,0.16,0.88,0.46,0.33
Good Ivan's Luxurious Bittersweet Chocolate Coated Velvet,0.65,0.09,0.61,0.07
Good Ivan's Sour Honey Nut Nonpariels,0.77,0.82,0.84,0.67
Billy Bonker's Dark Chocolate Coated Bar,0.43,0.63,0.33,0.52
Good Ivan's Sour Bittersweet Peanut-Butter Clusters,0.33,0.99,0.49,0.8
Good Ivan's Bitter Spearmint Fudge,0.11,0.54,0.1,0.01
Billy Bonker's Luxurious Honey Chocolate Coated Fudge,0.8,0.22,0.65,0.27
Hearsay Luxurious Salted Chocolate Coated Jawbreakers,0.23,0.05,0.69,0.74
Nastly Cool Cheese Caramel Mints,0.01,0.15,0.23,0.46
Good Ivan's Tart Bitter Spearmint Clusters,0.07,0.71,0.03,0.95
Hearsay Cool Bittersweet Walnut Jawbreakers,0.7,0.18,0.95,0.88
Hearsay Sinful Caramel Velvet,0.76,0.61,0.2,0.19
Nastly Dark Spearmint Fudge,0.5,0.66,0.27,0.1
Good Ivan's Cool Dark Cashew Fudge,0.35,0.18,0.81,0.11
Billy Bonker's Refreshingly Semisweet Wintergreen Clusters,0.41,0.07,0.28,0.96
Hearsay Luxurious Semisweet Peanut-Butter Velvet,0.69,0.1,0.58,0.12
Hearsay Tangy Dark Chocolate Lollipops,0.68,1,0.07,0.85
Hearsay Tangy Bittersweet Peanut Nonpariels,0.41,0.96,0.83,0.66
Billy Bonker's Salted Peanut-Butter Clusters,0.09,0.69,0.69,0.93
Billy Bonker's Refreshingly Dark Walnut Lollipops,0.34,0.26,0.72,0.92
Nastly Refreshingly Salted Peanut Wafers,0.16,0.05,0.78,0.54
Hearsay Salted Chocolate Coated Jawbreakers,0,0.52,0.69,0.75
Good Ivan's Dark Peanut Nonpariels,0.58,0.3,0.82,0.6
Hearsay Indulgent Caramel Fudge,1,0.49,0.23,0.26
Hearsay Sour Sinful Chocolate Jawbreakers,0.77,0.87,0.04,0.82
Hearsay Indulgent Wintergreen Bar,0.76,0.62,0.08,0.67
Good Ivan's Sinful Nugat-Filled Wafers,0.76,0.37,0.43,0.45
Hearsay Indulgent Chocolate Fudge,0.9,0.42,0.22,0.09
Hearsay Sour Dark Chocolate Coated Nonpariels,0.55,0.75,0.33,0.58
Billy Bonker's Bittersweet Chocolate Coated Lollipops,0.56,0.49,0.39,0.79
Billy Bonker's Bitter Nugat-Filled Bar,0.24,0.48,0.61,0.67
Billy Bonker's Indulgent Nugat-Filled Mints,0.73,0.32,0.68,0.41
Hearsay Indulgent Spearmint Bar,0.83,0.68,0.21,0.54
Nastly Cool Sinful Peanut-Butter Wafers,0.98,0.07,0.4,0.65
Nastly Bittersweet Nut Candy Sticks,0.66,0.39,0.79,0.86
Hearsay Dark Chocolate Mints,0.68,0.57,0.03,0.31
Good Ivan's Refreshingly Semisweet Peanut Chews,0.41,0.23,0.78,0.07
Billy Bonker's Luxurious Semisweet Walnut Velvet,0.37,0.17,0.91,0.08
Billy Bonker's Indulgent Peanut-Butter Nonpariels,0.88,0.31,0.63,0.44
Nastly Cool Honey Peanut-Butter Bar,0.85,0.21,0.63,0.55
Billy Bonker's Tangy Indulgent Almond Nonpariels,0.97,0.75,0.89,0.39
Good Ivan's Bitter Nut Velvet,0.17,0.66,0.86,0.13
Hearsay Tangy Bittersweet Chocolate Nonpariels,0.63,0.83,0.13,0.31
Nastly Honey Fruit Clusters,0.84,0.32,0.21,0.77
Billy Bonker's Cheese Nugat-Filled Jawbreakers,0.07,0.45,0.55,0.82
Billy Bonker's Tangy Semisweet Cashew Nonpariels,0.62,0.72,0.96,0.65
Billy Bonker's Bittersweet Peanut Candy Sticks,0.53,0.48,0.77,1
Hearsay Sour Dark Caramel Candy Sticks,0.33,0.73,0.05,0.93
Good Ivan's Sour Honey Walnut Fudge,0.84,0.85,0.85,0.25
Good Ivan's Tangy Honey Peanut Wafers,1,0.83,0.82,0.45
Good Ivan's Bittersweet Caramel Mints,0.46,0.33,0.24,0.4
Good Ivan's Tart Salted Fruit Jawbreakers,0.28,0.77,0.26,0.84
Good Ivan's Bittersweet Cashew Mints,0.36,0.36,0.97,0.5
Billy Bonker's Sour Bittersweet Chocolate Coated Chews,0.54,0.9,0.48,0
Nastly Salted Nugat-Filled Lollipops,0.16,0.52,0.6,0.73
Nastly Tangy Sinful Caramel Jawbreakers,0.97,0.95,0.19,0.92
Billy Bonker's Sour Dark Nugat-Filled Candy Sticks,0.33,0.95,0.35,0.77
Nastly Indulgent Caramel Bar,0.92,0.34,0.01,0.34
Nastly Cool Bittersweet Spearmint Bar,0.49,0.16,0.11,0.53
Hearsay Cheese Fruit Clusters,0.16,0.45,0.09,0.96
Hearsay Salted Walnut Wafers,0.17,0.69,0.78,0.4
Good Ivan's Bittersweet Peanut-Butter Wafers,0.66,0.38,0.42,0.35
Nastly Refreshingly Dark Cashew Velvet,0.39,0.05,0.93,0.1
Good Ivan's Bitter Peanut Bar,0.05,0.68,0.84,0.39
Nastly Dark Chocolate Clusters,0.5,0.45,0.19,0.78
Nastly Sour Honey Walnut Fudge,0.84,1,0.96,0.09
Good Ivan's Refreshingly Sinful Chocolate Mints,0.88,0.05,0.24,0.48
Hearsay Dark Spearmint Fudge,0.35,0.48,0.05,0
